entity_label,start_position,end_position,correct_prediction,candidates,matching_candidate_index
AFP,14,17,False,"[[""AFC Ajax"", 0.698, 0.36, 0.937, 0.068], [""AFC Wimbledon"", 0.698, 0.25, 0.806, 0.093], [""Sunderland A.F.C."", 0.698, 0.2, 1.0, -0.062], [""Agence France-Presse"", 0.656, 0.26, 0.356, 0.346], [""Armed Forces of the Philippines"", 0.694, 0.18, 0.463, 0.14], [""Alpha-fetoprotein"", 0.882, 0.1, 0.345, 0.105], [""AFP"", 0, 1.0, 0.056, 0.056], [""AFP-L3"", 0, 0.67, 0.0, 0.056], [""Armed Forces of the Philippines Medal of Valor"", 0, 0.12, 0.423, -0.015], [""AFP Visayas Command"", 0, 0.27, 0.0, 0.056]]",3
Iraq,119,123,False,"[[""Iran"", 0.836, 0.75, 1.0, 0.169], [""Iraq"", 0.836, 1.0, 0.463, 0.432], [""Iraq War"", 0.946, 0.67, 0.378, 0.357], [""Iran\u2013Iraq War"", 0.946, 0.47, 0.185, 0.429], [""Iraq national football team"", 0.916, 0.26, 0.292, 0.36], [""Baghdad"", 0.848, 0.18, 0.294, 0.405], [""Kingdom of Iraq"", 0.836, 0.42, 0.0, 0.356], [""2003 invasion of Iraq"", 0.946, 0.32, 0.043, 0.271], [""Iraq national under-23 football team"", 0.916, 0.2, 0.054, 0.378], [""Iran Standard Time"", 0, 0.27, 0.974, 0.122]]",1
Florida,57,64,True,"[[""Florida"", 0.748, 1.0, 1.0, 0.338], [""Tampa, Florida"", 0.848, 0.67, 0.339, 0.275], [""Orlando, Florida"", 0.848, 0.61, 0.323, 0.259], [""Tallahassee, Florida"", 0.858, 0.52, 0.088, 0.48], [""Jacksonville, Florida"", 0.848, 0.5, 0.337, 0.247], [""Florida Panthers"", 0.855, 0.61, 0.107, 0.165], [""Sarasota, Florida"", 0.848, 0.58, 0.0, 0.279], [""Gainesville, Florida"", 0.848, 0.52, 0.079, 0.22], [""University of Florida"", 0, 0.5, 0.221, 0.267], [""Florida State University"", 0, 0.45, 0.086, 0.322]]",0
AFP,12,15,False,"[[""AFC Ajax"", 0.697, 0.36, 0.937, -0.124], [""AFC Wimbledon"", 0.697, 0.25, 0.806, 0.025], [""Sunderland A.F.C."", 0.697, 0.2, 1.0, -0.126], [""Armed Forces of the Philippines"", 0.694, 0.18, 0.463, 0.276], [""Agence France-Presse"", 0.653, 0.26, 0.356, 0.216], [""Alpha-fetoprotein"", 0.892, 0.1, 0.345, 0.119], [""AFP"", 0, 1.0, 0.056, 0.058], [""AFP-L3"", 0, 0.67, 0.0, 0.058], [""Armed Forces of the Philippines Medal of Valor"", 0, 0.12, 0.423, 0.099], [""AFP Visayas Command"", 0, 0.27, 0.0, 0.058]]",4
Lebanon,16,23,True,"[[""Lebanon"", 0.836, 1.0, 1.0, 0.48], [""1982 Lebanon War"", 0.945, 0.61, 0.22, 0.585], [""2006 Lebanon War"", 0.945, 0.61, 0.235, 0.534], [""Beirut"", 0.848, 0.15, 0.739, 0.477], [""Lebanon national football team"", 0.915, 0.38, 0.539, 0.376], [""Mount Lebanon Governorate"", 0.857, 0.44, 0.321, 0.388], [""Lebanon, Pennsylvania"", 0.848, 0.5, 0.064, 0.369], [""Lebanon, Tennessee"", 0.848, 0.56, 0.0, 0.354], [""Lebanon, New Hampshire"", 0.848, 0.48, 0.0, 0.327], [""Lebanon County, Pennsylvania"", 0.748, 0.4, 0.032, 0.377]]",0
Israel,133,139,True,"[[""Israel"", 0.836, 1.0, 1.0, 0.368], [""Israelis"", 0.938, 0.86, 0.274, 0.223], [""Israel national football team"", 0.916, 0.34, 0.51, 0.19], [""Israel Prize"", 0.938, 0.67, 0.082, 0.183], [""Acre, Israel"", 0.858, 0.67, 0.027, 0.277], [""Israel Defense Forces"", 0.884, 0.44, 0.125, 0.374], [""Israel national under-21 football team"", 0.916, 0.27, 0.413, 0.222], [""Israel national under-19 football team"", 0.916, 0.27, 0.315, 0.209], [""Israel national under-17 football team"", 0.916, 0.27, 0.175, 0.29], [""Israel Railways"", 0.847, 0.57, 0.0, 0.211]]",0
Yemen,92,97,True,"[[""Yemen"", 0.836, 1.0, 1.0, 0.128], [""Sanaa Governorate"", 0.858, 0.18, 0.804, 0.108], [""South Yemen"", 0.946, 0.62, 0.177, 0.094], [""Yemen national football team"", 0.916, 0.3, 0.377, 0.193], [""North Yemen Civil War"", 0.946, 0.38, 0.08, 0.217], [""Houthi insurgency in Yemen"", 0.946, 0.32, 0.073, 0.162], [""Houthi takeover in Yemen"", 0.946, 0.34, 0.0, 0.178], [""Yemen Arab Republic"", 0.836, 0.42, 0.0, 0.177], [""Republic of Yemen Armed Forces"", 0.884, 0.29, 0.018, 0.212], [""United States\u2013Yemen relations"", 0, 0.29, 0.093, 0.206]]",0
Jerusalem,0,9,True,"[[""Jerusalem"", 0.811, 1.0, 1.0, 0.228], [""Beitar Jerusalem F.C."", 0.859, 0.6, 0.857, 0.165], [""Hapoel Jerusalem F.C."", 0.859, 0.6, 0.541, 0.152], [""Hapoel Jerusalem B.C."", 0.802, 0.6, 0.44, 0.195], [""Hapoel Katamon Jerusalem F.C."", 0.859, 0.47, 0.354, 0.167], [""Agudat Sport Nordia Jerusalem"", 0.859, 0.47, 0.082, 0.168], [""Kingdom of Jerusalem"", 0.801, 0.62, 0.07, 0.088], [""Anglican Diocese of Jerusalem"", 0.71, 0.47, 0.063, 0.164], [""Hebrew University of Jerusalem"", 0, 0.46, 0.63, 0.232], [""East Jerusalem"", 0, 0.78, 0.0, 0.312]]",0
AFP,16,19,False,"[[""AFC Ajax"", 0.695, 0.36, 0.937, -0.147], [""AFC Wimbledon"", 0.695, 0.25, 0.806, 0.032], [""Sunderland A.F.C."", 0.695, 0.2, 1.0, -0.131], [""Armed Forces of the Philippines"", 0.692, 0.18, 0.463, 0.255], [""Agence France-Presse"", 0.652, 0.26, 0.356, 0.222], [""Alpha-fetoprotein"", 0.888, 0.1, 0.345, 0.144], [""AFP"", 0, 1.0, 0.056, 0.124], [""AFP-L3"", 0, 0.67, 0.0, 0.124], [""Armed Forces of the Philippines Medal of Valor"", 0, 0.12, 0.423, 0.032], [""AFP Visayas Command"", 0, 0.27, 0.0, 0.124]]",4
Yasser Arafat,34,47,True,"[[""Yasser Arafat"", 0.731, 1.0, 1.0, 0.49], [""Yasser Arafat International Airport"", 0.992, 0.54, 0.712, 0.39], [""Martyr Yasser Arafat Governmental Hospital"", 0.98, 0.47, 0.178, 0.372], [""Al-Aqsa Martyrs' Brigades"", 0, 0.26, 0.847, 0.406], [""Cause of Yasser Arafat's death"", 0, 0.6, 0.356, 0.542], [""Yasser Arafat Cup"", 0, 0.87, 0.0, 0.337], [""Yasser Arafat"", 0, 1.0, 0.0, 0.161], [""Yasser Arafat"", 0, 1.0, 0.0, 0.161], [""Yasir Arafat (disambiguation)"", 0, 0.52, 0.282, 0.161], [""Mukataa"", 0, 0.3, 0.46, 0.052]]",0
Corey Flintoff,325,339,False,"[[""Andrew Flintoff"", 0.766, 0.76, 0.503, 0.14], [""Corey Burton"", 0.703, 0.62, 0.651, 0.167], [""Corey Haim"", 0.703, 0.58, 0.587, 0.245], [""Corey Feldman"", 0.703, 0.67, 0.631, 0.106], [""Slipknot (band)"", 0.925, 0.28, 0.797, 0.091], [""Corey Flintoff"", 0, 1.0, 0.0, 0.193], [""Jay-Z"", 0, 0.11, 1.0, 0.056], [""Assassin's Creed"", 0, 0.2, 0.745, 0.106], [""Salem witch trials"", 0, 0.25, 0.7, 0.08], [""Quest for Glory"", 0, 0.34, 0.665, -0.002]]",5
Washington,349,359,True,"[[""Washington, D.C."", 0.846, 0.77, 1.0, -0.041], [""Washington (state)"", 0.762, 0.71, 0.786, -0.039], [""Tacoma, Washington"", 0.846, 0.71, 0.346, 0.095], [""Spokane, Washington"", 0.846, 0.69, 0.338, 0.091], [""Washington Capitals"", 0.814, 0.69, 0.418, -0.025], [""Seattle"", 0.846, 0.24, 0.647, -0.023], [""Washington"", 0, 1.0, 0.0, 0.161], [""University of Washington"", 0, 0.59, 0.47, 0.032], [""George Washington University"", 0, 0.53, 0.411, 0.025], [""Washington University in St. Louis"", 0, 0.45, 0.224, -0.008]]",0
Gaza,0,4,False,"[[""Gaza Strip"", 0.742, 0.57, 1.0, 0.338], [""Gaza City"", 0.76, 0.62, 0.828, 0.369], [""Gaza\u2013Israel conflict"", 0.838, 0.33, 0.215, 0.372], [""Second Battle of Gaza"", 0.838, 0.32, 0.14, 0.385], [""First Battle of Gaza"", 0.838, 0.33, 0.108, 0.359], [""Gaza War (2008\u20132009)"", 0.838, 0.33, 0.321, 0.062], [""Gaza Province"", 0.668, 0.47, 0.124, 0.286], [""Gaza flotilla raid"", 0, 0.36, 0.0, 0.379], [""2014 Gaza War"", 0, 0.47, 0.201, 0.062], [""Israeli disengagement from Gaza"", 0, 0.23, 0.073, 0.39]]",1
AFP,11,14,False,"[[""AFC Ajax"", 0.694, 0.36, 0.937, -0.044], [""Sunderland A.F.C."", 0.694, 0.2, 1.0, -0.067], [""AFC Wimbledon"", 0.694, 0.25, 0.806, -0.033], [""Armed Forces of the Philippines"", 0.691, 0.18, 0.463, 0.216], [""Alpha-fetoprotein"", 0.885, 0.1, 0.345, 0.21], [""Agence France-Presse"", 0.652, 0.26, 0.356, 0.16], [""AFP"", 0, 1.0, 0.056, 0.062], [""AFP-L3"", 0, 0.67, 0.0, 0.062], [""Armed Forces of the Philippines Medal of Valor"", 0, 0.12, 0.423, -0.016], [""AFP Visayas Command"", 0, 0.27, 0.0, 0.062]]",5
AFP,15,18,False,"[[""AFC Ajax"", 0.696, 0.36, 0.937, 0.053], [""Sunderland A.F.C."", 0.696, 0.2, 1.0, -0.017], [""AFC Wimbledon"", 0.696, 0.25, 0.806, 0.052], [""Alpha-fetoprotein"", 0.891, 0.1, 0.345, 0.241], [""Agence France-Presse"", 0.653, 0.26, 0.356, 0.294], [""Armed Forces of the Philippines"", 0.693, 0.18, 0.463, 0.17], [""AFP"", 0, 1.0, 0.056, 0.017], [""AFP-L3"", 0, 0.67, 0.0, 0.017], [""Armed Forces of the Philippines Medal of Valor"", 0, 0.12, 0.423, 0.005], [""AFP Visayas Command"", 0, 0.27, 0.0, 0.017]]",4
Iran,99,103,True,"[[""Iran"", 0.836, 1.0, 1.0, 0.344], [""Tehran"", 0.848, 0.6, 0.445, 0.368], [""Iran\u2013Iraq War"", 0.946, 0.47, 0.132, 0.438], [""Iran national football team"", 0.916, 0.26, 0.284, 0.272], [""Iran Standard Time"", 0, 0.36, 0.973, 0.334], [""Iran national under-23 football team"", 0.916, 0.2, 0.163, 0.352], [""Iran national under-20 football team"", 0.916, 0.2, 0.138, 0.36], [""Iran national under-17 football team"", 0.916, 0.2, 0.041, 0.352], [""Counties of Iran"", 0, 0.4, 0.129, 0.25], [""Iran national futsal team"", 0, 0.28, 0.0, 0.233]]",0
Moscow,618,624,True,"[[""Moscow"", 0.748, 1.0, 1.0, 0.175], [""FC Spartak Moscow"", 0.915, 0.52, 0.585, 0.164], [""FC Dynamo Moscow"", 0.915, 0.55, 0.558, 0.144], [""PFC CSKA Moscow"", 0.915, 0.57, 0.526, 0.141], [""FC Torpedo Moscow"", 0.915, 0.52, 0.487, 0.225], [""FC Lokomotiv Moscow"", 0.915, 0.48, 0.514, 0.114], [""FC Moscow"", 0.915, 0.8, 0.066, 0.1], [""Moscow State University"", 0.865, 0.41, 0.251, 0.106], [""FC Spartak-2 Moscow"", 0.915, 0.48, 0.063, 0.172], [""HC Dynamo Moscow"", 0.854, 0.55, 0.0, 0.063]]",0
Beirut,0,6,True,"[[""Beirut"", 0.809, 1.0, 0.756, 0.281], [""Racing Club Beirut"", 0.867, 0.5, 0.23, 0.373], [""Portland, Oregon"", 0.809, 0.18, 1.0, -0.053], [""Nejmeh SC"", 0.867, 0.13, 0.509, 0.401], [""Beirut (band)"", 0.847, 0.63, 0.0, 0.248], [""Beirut\u2013Rafic Hariri International Airport"", 0.804, 0.26, 0.173, 0.348], [""Ras Beirut"", 0, 0.75, 0.028, 0.273], [""American University of Beirut"", 0, 0.34, 0.373, 0.296], [""Homenmen Beirut"", 0, 0.57, 0.019, 0.046], [""2020 Beirut explosion"", 0, 0.44, 0.066, 0.046]]",0
AFP,13,16,False,"[[""AFC Ajax"", 0.693, 0.36, 0.937, 0.071], [""Sunderland A.F.C."", 0.693, 0.2, 1.0, 0.107], [""AFC Wimbledon"", 0.693, 0.25, 0.806, 0.242], [""Armed Forces of the Philippines"", 0.691, 0.18, 0.463, 0.314], [""Alpha-fetoprotein"", 0.885, 0.1, 0.345, 0.23], [""Agence France-Presse"", 0.651, 0.26, 0.356, 0.164], [""AFP"", 0, 1.0, 0.056, 0.046], [""AFP-L3"", 0, 0.67, 0.0, 0.046], [""Armed Forces of the Philippines Medal of Valor"", 0, 0.12, 0.423, 0.14], [""AFP Visayas Command"", 0, 0.27, 0.0, 0.046]]",5
Lebanon,575,582,True,"[[""Lebanon"", 0.836, 1.0, 1.0, 0.225], [""Lebanon national football team"", 0.916, 0.38, 0.539, 0.45], [""1982 Lebanon War"", 0.946, 0.61, 0.22, 0.264], [""2006 Lebanon War"", 0.946, 0.61, 0.235, 0.232], [""Beirut"", 0.848, 0.15, 0.739, 0.103], [""Mount Lebanon Governorate"", 0.858, 0.44, 0.321, 0.164], [""Lebanon, Tennessee"", 0.848, 0.56, 0.0, 0.096], [""Lebanon, Pennsylvania"", 0.848, 0.5, 0.064, 0.089], [""Lebanon, New Hampshire"", 0.848, 0.48, 0.0, 0.048], [""Lebanon County, Pennsylvania"", 0.748, 0.4, 0.032, 0.109]]",0
Emirates,716,724,True,"[[""United Arab Emirates"", 0.784, 0.57, 0.874, 0.282], [""Emirates Club"", 0.771, 0.76, 0.489, 0.331], [""Afghanistan"", 0.784, 0.21, 1.0, 0.138], [""United Arab Emirates national football team"", 0.771, 0.31, 0.538, 0.394], [""Dubai"", 0.793, 0.15, 0.724, 0.156], [""United Arab Emirates national under-23 football team"", 0.771, 0.27, 0.187, 0.327], [""Emirates Stadium"", 0, 0.67, 0.04, 0.142], [""Emirates (airline)"", 0, 0.62, 0.0, 0.21], [""Expatriates in the United Arab Emirates"", 0, 0.34, 0.111, 0.155], [""United Arab Emirates\u2013United Kingdom relations"", 0, 0.3, 0.078, 0.127]]",0
Mexico,567,573,True,"[[""Mexico"", 0.835, 1.0, 1.0, 0.07], [""Mexico City"", 0.847, 0.71, 0.663, -0.031], [""Mexico national football team"", 0.914, 0.34, 0.406, 0.236], [""New Mexico"", 0.747, 0.75, 0.446, -0.063], [""State of Mexico"", 0.856, 0.57, 0.105, -0.016], [""Albuquerque, New Mexico"", 0.847, 0.41, 0.214, -0.104], [""Santa Fe, New Mexico"", 0.847, 0.46, 0.074, -0.069], [""Municipalities of Mexico"", 0, 0.4, 0.293, 0.076], [""Anglican Church of Mexico"", 0, 0.39, 0.068, 0.049], [""University of New Mexico"", 0, 0.4, 0.0, 0.031]]",0
Bangkok,547,554,True,"[[""Bangkok"", 0.748, 1.0, 1.0, 0.127], [""Bangkok F.C."", 0.916, 0.74, 0.488, 0.213], [""Bangkok United F.C."", 0.916, 0.54, 0.619, 0.251], [""Bangkok Bank F.C."", 0.916, 0.58, 0.156, 0.196], [""Bangkok Christian College F.C."", 0.916, 0.38, 0.284, 0.21], [""BG Pathum United F.C."", 0.916, 0.21, 0.383, 0.167], [""Bangkok Metropolitan Administration"", 0.819, 0.33, 0.352, 0.092], [""North Bangkok University F.C."", 0.916, 0.39, 0.0, 0.199], [""Time in Thailand"", 0, 0.17, 0.989, 0.088], [""List of districts of Bangkok"", 0, 0.4, 0.065, 0.085]]",0
VOA News,17,25,False,"[[""American Broadcasting Company"", 0.745, 0.16, 0.99, 0.155], [""Voice of America"", 0.745, 0.25, 0.471, 0.229], [""Epitaph Records"", 0.718, 0.26, 0.675, -0.02], [""Vox (website)"", 0.835, 0.38, 0.294, 0.111], [""Journalist"", 0, 0.11, 1.0, 0.059], [""Jannat"", 0.917, 0.0, 0.197, 0.049], [""VOA News"", 0, 1.0, 0.0, 0.121], [""List of E. Schweizerbart serials"", 0, 0.15, 0.771, 0.095], [""VoA News"", 0, 0.88, 0.0, 0.121], [""Christian Gottfried Daniel Nees von Esenbeck"", 0, 0.15, 0.347, 0.159]]",1
America,382,389,False,"[[""Americans"", 0.938, 0.88, 0.443, 0.009], [""United States"", 0.833, 0.2, 1.0, 0.088], [""California"", 0.746, 0.35, 0.68, 0.082], [""Democratic Party (United States)"", 0.863, 0.26, 0.634, 0.016], [""North America"", 0.824, 0.7, 0.0, 0.015], [""British America"", 0.833, 0.64, 0.015, -0.039], [""Confederate States of America"", 0.833, 0.39, 0.075, 0.065], [""Eastern Time Zone"", 0, 0.25, 0.608, 0.027], [""Central Time Zone"", 0, 0.25, 0.503, -0.043], [""Parade All-America Boys Basketball Team"", 0, 0.3, 0.105, -0.063]]",1
Texas,569,574,True,"[[""Texas"", 0.748, 1.0, 1.0, 0.258], [""Austin, Texas"", 0.848, 0.56, 0.461, 0.225], [""Dallas"", 0.848, 0.36, 0.371, 0.166], [""Fort Worth, Texas"", 0.848, 0.45, 0.294, 0.15], [""El Paso, Texas"", 0.848, 0.53, 0.155, 0.147], [""Houston"", 0.848, 0.17, 0.462, 0.17], [""Beaumont, Texas"", 0.848, 0.5, 0.0, 0.148], [""Texas Rangers (baseball)"", 0.872, 0.34, 0.121, 0.091], [""University of Texas at Austin"", 0, 0.29, 0.306, 0.248], [""Texas A&M University"", 0, 0.4, 0.09, 0.199]]",0
Xinhua News Agency,0,18,True,"[[""Xinhua News Agency"", 0.658, 1.0, 0.439, 0.479], [""American Broadcasting Company"", 0.748, 0.3, 0.99, 0.252], [""NASA"", 0.68, 0.18, 0.837, 0.131], [""News agency"", 0, 0.69, 0.597, 0.159], [""News"", 0, 0.36, 0.803, 0.1], [""Journalist"", 0, 0.21, 1.0, 0.05], [""Xinhua News Agency Macao Branch"", 0, 0.73, 0.0, 0.504], [""News presenter"", 0, 0.44, 0.713, 0.012], [""Associated Press"", 0, 0.29, 0.761, 0.023], [""Xinhua News Agency"", 0, 1.0, 0.0, 0.061]]",0
Shanghai,19,27,True,"[[""Shanghai"", 0.846, 1.0, 1.0, 0.441], [""Shanghai Shenxin F.C."", 0.911, 0.55, 0.343, 0.439], [""Shanghai United F.C."", 0.911, 0.57, 0.172, 0.436], [""Shanghai Metro"", 0.843, 0.73, 0.007, 0.394], [""Shanghai Sharks"", 0.85, 0.7, 0.021, 0.351], [""Shanghai Media Group"", 0.904, 0.57, 0.0, 0.43], [""Shanghai Theatre Academy"", 0.862, 0.5, 0.19, 0.318], [""Battle of Shanghai"", 0.942, 0.62, 0.063, 0.206], [""Shanghai Jiao Tong University"", 0.862, 0.43, 0.14, 0.366], [""Shanghai Shenhua F.C."", 0, 0.55, 0.415, 0.061]]",0
HSBC,72,76,True,"[[""HSBC"", 0.695, 1.0, 1.0, 0.62], [""HSBC M\u00e9xico"", 0.654, 0.53, 0.179, 0.506], [""HSBC Bank USA"", 0.654, 0.47, 0.267, 0.473], [""WGC-HSBC Champions"", 0.758, 0.36, 0.127, 0.353], [""HSBC Trinkaus"", 0.654, 0.47, 0.0, 0.429], [""HSBC (Hong Kong)"", 0, 0.4, 0.777, 0.061], [""HSBC Bank (Brazil)"", 0, 0.36, 0.306, 0.462], [""HSBC Building (Hong Kong)"", 0, 0.28, 0.341, 0.475], [""HSBC (United Kingdom)"", 0, 0.32, 0.373, 0.061], [""HSBC Building"", 0, 0.47, 0.068, 0.061]]",0
Pudong,279,285,True,"[[""Pudong"", 0.748, 1.0, 1.0, 0.541], [""Shanghai Pudong International Airport"", 0.846, 0.28, 0.817, 0.436], [""Shanghai Zobon F.C."", 0.916, 0.16, 0.554, 0.433], [""Pudong railway"", 0.849, 0.6, 0.0, 0.49], [""China Executive Leadership Academy in Pudong"", 0.865, 0.24, 0.262, 0.415], [""Pudong Avenue station"", 0.844, 0.44, 0.0, 0.414], [""Pudong International Airport station"", 0.844, 0.29, 0.089, 0.438], [""Nord Anglia International School Shanghai Pudong"", 0.883, 0.22, 0.158, 0.336], [""Shanghai Pudong Development Bank"", 0, 0.32, 0.303, 0.588], [""Shanghai Pudong"", 0, 0.57, 0.0, 0.036]]",0
